Year,City Code,City ,GDP,Proportion of primary industry,Proportion of secondary industry,Proportion of the third industry,Per Capita GDP,Urbanization Rate,Unemployment,Average Wage,City Area,Cultivated Area,Grain Yield,GDP of industries above designated size,GDP of foreign-invested enterprises,Total Retail Consumer Goods,Expenditure on education,Public libraries per 100 inhabitants,Number of hospital beds,Total passenger traffic,Total freight volume,Total telecommunication services,Number of international Internet users,Number of participants in medical insurance
2021,110000,北京,402700000,0.28,18.05,81.67,183980,NaN,,201504,,,,,,148677416,11478293,,122287,,,158446,1066950000,14860477
2020,110000,北京,361030000,0.3,15.83,83.87,164889,#DIV/0!,,185026,,,,,,137163960,11382891,,119310,,,,,17415956
2019,110000,北京,353710000,0.32,16.16,83.52,164220,NaN,93500,173205,16410,,,,,150636524,11360185,,119574,,,6196743,6890000,16825174
2018,110000,北京,303199787,0.39,18.63,80.98,140211,NaN,102400,149843,16406,,,,,117476796,10255068,,116279,,,6193326,6350000,16288778
2017,110000,北京,280149400,0.43,19.01,80.56,128994,NaN,81000,134994,16406,,,,,115754000,9645817,,113700,,,8755281,5420000,15691611
2016,110000,北京,256691300,0.51,19.26,80.23,118198,NaN,91421,122749,16411,,,180872720,55998148,110051000,8873761,,110021,,,13964015,4760000,15176243
2015,110000,北京,230145900,0.61,19.74,79.65,106497,NaN,91593,113073,16411,,,174496269,51922388,103380064,8556654,442,104644,,,9233637,4920000,14756583
2014,110000,北京,213308300,0.75,21.31,77.95,99995,NaN,74272,103400.41,16411,,,184528984,54401935,96379959,7420541,420,102851,71715,26697,6873707,5530000,16042532
2013,110000,北京,195005600,0.83,22.32,76.85,93213,NaN,68144,93996.77,16411,,96.1,173708872,55875843,83751191,6811775,404,115278,71057,25865,5940104,5350000,13547669
2012,110000,北京,178794000,0.84,22.7,76.46,87475,NaN,71982,85306.02,16411,,113.8,155962123,47368450,77028167,6286510,428,92610,149037,26291,4880146,5720000,14315958
2011,110000,北京,162519300,0.84,23.09,76.07,81658,NaN,81336,75834.61,16411,,121.8,145136281,46278310,69003246,5200778,395,87596,145773,24788,4362841,5233645,11880098
2010,110000,北京,141135800,0.88,24.01,75.11,75943,NaN,77255,65682.17,16411,,115.7,136998388,43645368,62292986,4502155,367,85935,140663,21886,10668311,5455639,
2009,110000,北京,121530000,0.97,23.5,75.53,70452,NaN,81550,58139.89,16411,,124.77,110391291,36003923,53098869,3656677,351,84896,133872,20486,8667454,5049323,
2008,110000,北京,104880500,1.08,25.68,73.25,63029,0.731399777,103250,56327.86,16411,,125.45,104130928,34168182,45889850,3162957,315,81937,20978,20515,7541280,4398295,
2007,110000,北京,93533200,1.08,26.83,72.09,58204,0.765623197,106275,46507.58,16411,233,102.07,96483842,36928369,38002053,2630041,325,80158,20040,19895,6349171,4220726,
2006,110000,北京,78702835,1.25,27.84,70.91,50467,0.755995324,103986,40116.73,16411,233,109.2,82099969,32080840,33707447,1751755,315,70698,12276,32998,4695060,3952919,
2005,110000,北京,68863101,1.42,29.43,69.15,45444,0.745489964,105652,34190.73,16410,233,94.9,69462116,25963699,28968163,1458723,307,76031,60840,32103,3794372,3806369,
2004,110000,北京,42833100,2.4,37.6,60,37058,0.734970634,64617,29674.26,16800,237,70.2,48808890,15938020,19704844,1213881,297,74345,48682,29989,3190000,,
2003,110000,北京,36631000,2.68,35.81,61.5,32061,0.723176825,69589,25312.37,16800,196,58,38103630,11345260,19167161,988222,292,71173,30520,30671,2486977,3980000,
2002,110000,北京,32127100,3.05,34.75,62.19,28449,0.710111766,60152,21854.28,16800,249,82.3,31734761,8952571,17447866,,286,72997,28384,30767,2242597,3229327,
2001,110000,北京,28456500,3.27,36.22,60.51,25542,0.695090439,50000,19153.86,16800,301,106.28,29088152,9673739,15934797,,279,70837,22469,30550,2537976,1090000,
2000,110000,北京,24787600,3.6,38.1,58.3,,0.686843697,33221,16350,16808,329,144.16,25653086,8114523,,,266,69183,18396,30657,,,
1999,110000,北京,21744600,4,38.6,57.3,,0.597807825,30336,14054,16808,338,,19999706,5795789,13133233,,236,,20323,45562,,,
1998,110000,北京,20113100,4.3,39.1,56.6,,0.599677944,,12451,16808,341,,,,11952118,,222,66954,12419,30075,,,
1997,110000,北京,18100900,4.69,40.8,54.51,,0.593975508,,11018,16808,342,,,,10515342,,224,,10479,34128,,,
1996,110000,北京,16157300,5.2,42.3,52.6,,0.658532059,,9580,16808,344,,,,9236637,,,,15370,12896,,,
1995,110000,北京,13948900,5.8,44.1,50.1,,0.648145741,,8144,16807,399,,,,8269826,,,,10085,32078,,,
1994,110000,北京,10830377,6.812,46.151,47.037,,0.644068754,,6549.47,16808,402,276.1,,,6669756,,,,7247,5264,,,
1993,110000,北京,,,,,,0.636161266,,,16808,406,,,,5328636,130962,,,4746,3064,,,
1992,110000,北京,,,,,,0.628085253,,,,,,,,,105507,,,7556,29807,,,
1991,110000,北京,5586900,8.149,52.181,39.67,5395,0.623761424,,,16808,411.333,280,,,3577529,,,,7443,29094,,,
1990,110000,北京,5008200,8.762,52.39,38.848,4883,0.61833911,,,16808,412.667,264.62,,,3076643,,,,7436,26386,,,
2021,120000,天津,156950000,1.43,37.3,61.26,113732,NaN,,128171,,,,,,37697821,4792461,,62238,,,,,6376400
2020,120000,天津,140840000,1.49,34.11,64.39,101614,#DIV/0!,,118918,,,,,,35829079,4429121,,61524,,,,,6184300
2019,120000,天津,141040000,1.31,35.23,63.46,90371,NaN,260900,111602,11967,,,,,42182097,4669789,,60990,,,1419332,5240000,5950400
2018,120000,天津,188096400,0.92,40.46,58.62,120711,NaN,258100,103931,11760,,,,,55330440,4466652,,60337,,,1534626,4910000,5752609
2017,120000,天津,185491900,0.91,40.94,58.15,119238,NaN,260025,96965,11917,,,,,57296691,4352701,,60158,,,3006800,3390000,5541431
2016,120000,天津,178853900,1.23,42.33,56.44,115053,NaN,257700,87806,11917,,,274016801,66132464,56358078,5024901,,61764,,,3980178,2840000,5356800
2015,120000,天津,165381900,1.26,46.58,52.15,107960,NaN,229810,84187,11917,,,282421305,71508881,52572834,5074400,165,62495,,,2617627,12050000,5220000
2014,120000,天津,157269300,1.28,49.38,49.34,105231,NaN,225236,84833.06,11917,,,280350275,76716735,47386543,5170063,157,59490,19600,49751,134868,10140000,10236200
2013,120000,天津,143701600,1.31,50.64,48.05,99607,NaN,216900,68863.49,11917,,174.7,262274556,78240976,44704286,4613571,147,53062,29519,50322,1653735,1880000,4930800
2012,120000,天津,128938800,1.33,51.68,46.99,93173,NaN,204000,65398.43,11760,,161.8,234275026,69571630,39214286,3787491,148,48896,28462,46475,1598740,2140000,9813000
2011,120000,天津,113072800,1.41,52.43,46.16,85213,NaN,201100,55636.33,11760,,161.8,208627443,65559507,33950600,3023241,136,44661,25331,43428,1591000,1901900,4745200
2010,120000,天津,92244600,1.58,52.47,45.95,72994,NaN,160983,52963.68,11760,,159.7,167518155,55930059,29025506,2295648,128,44080,24873,40368,4071300,1740400,
2009,120000,天津,75218500,1.71,53.02,45.27,62574,NaN,150000,45075.48,11760,,156.29,130836313,45537039,24308297,1736062,122,41921,25299,42744,3597600,5333900,
2008,120000,天津,63543800,1.93,60.13,37.94,55473,0.607171241,129900,41394.36,11760,,148.93,121286534,46953800,20003400,1416985,114,41212,8752,54260,3346400,4611800,
2007,120000,天津,50504000,2.18,57.27,40.54,46122,0.605088103,104619,34938.22,11760,406,147.15,100750702,42839618,16037390,1100248,107,39708,7104,50462,2855242,2498900,
2006,120000,天津,43591500,2.71,57.08,40.21,41163,0.60179789,116700,28682.54,11917,,143.5,85276980,39454666,13567865,815828,100,38893,5670,42014,2142151,2288500,
2005,120000,天津,36976200,3.04,55.47,41.49,35783,0.598737371,117100,25271.03,11920,415,137.5,67741031,30043805,11900636,672034,93,39491,4679,39485,1650431,2073625,
2004,120000,天津,29318800,3.58,53.21,43.2,31550,0.596396976,117700,21891.82,11920,415,125.3,53750894,23225716,10527006,553991,89,38876,4103,37283,1375458,2674900,
2003,120000,天津,24476600,3.66,50.88,45.46,26532,0.593671706,120300,18648.41,11920,419,119.3,40496103,16339839,9222673,475804,91,38074,3507,34679,1067333,2045731,
2002,120000,天津,20511600,4.1,48.85,47.06,22380,0.588803656,129000,16257.97,11920,423,137.8,33231226,13648400,9413642,,89,38837,3457,30530,818374,1249791,
2001,120000,天津,18401000,4.27,49.16,46.57,20155,0.585592683,113980,14307.84,11920,424,143.33,29404045,11552773,8326969,,88,40394,3302,28151,621834,685502,
2000,120000,天津,16393600,4.5,50,45.5,,0.583892544,105020,12481,11920,424,124.05,26063753,10090983,,,86,38842,3474,26013,,,
1999,120000,天津,14500600,4.9,49.1,46,,0.580858521,95000,11123,11920,425,,22645502,7905604,6572816,,84,,3259,26317,,,
1998,120000,天津,13363800,5.5,49.4,45.1,,0.576042162,,9948,11920,425,,,,5871198,,81,39134,3204,21496,,,
1997,120000,天津,12404000,6.01,51.91,42.08,,0.5727495,,8238,11920,425,,,,5350162,,68,,3136,24464,,,
1996,120000,天津,11024000,6.4,53,40.6,,0.571150314,,7394,11920,426,,,,4700400,,,,3124,23659,,,
1995,120000,天津,9201100,6.9,54.5,38.7,,0.567784727,,6501,11920,426,,,,3756362,,,,3308,23567,,,
1994,120000,天津,7251400,6.417,55.724,37.859,,0.566057774,,5363.58,11305,427,190.3,,,3033695,,,,3373,23327,,,
1993,120000,天津,,,,,,0.563211787,,,11305,429,,,,2274197,79210,,,3243,18217,,,
1992,120000,天津,,,,,,0.56274923,,,,,,,,,66388,,,2662,17204,,,
1991,120000,天津,3373500,8.673,56.028,35.296,3880,0.561508185,,,11305,431.333,199,,,1691910,,,,2923,17989,,,
1990,120000,天津,3003100,10.246,59.928,29.826,3477,0.559945316,,,11305,431.333,188.75,,,1493582,,,,2175,15603,,,
2021,130100,石家庄,64900000,7.78,32.47,59.75,57830,NaN,,89065,,,,,,25012429,2269961,,57293,,,33495,64100000,1971822
2020,130100,石家庄,59350000,8.41,29.4,62.19,52961,#DIV/0!,,84870,,,,,,23826607,2185270,,55670,,,,,1836419
2019,130100,石家庄,58100000,7.74,31.53,60.74,52859,NaN,54539,78937,15848,,,,,24651898,2144377,,51288,,,810957,3930000,1691950
2018,130100,石家庄,60826180,6.91,37.57,55.51,55723,NaN,51303,75114,15848,,,,,32743989,1971155,,48927,,,873512,3740000,1555128
2017,130100,石家庄,61770284,,,,57024,NaN,51008,67880,14060,,511.21,,,29833374,1676709,,46036,,,869762,3180000,1446094
2016,130100,石家庄,59277293,8.11,45.45,46.44,55177,NaN,,61189,13056,,495.82,96447877,2329660,29752321,1591856,,49573,,,867303,2810000,1456265
2015,130100,石家庄,54405988,9.09,45.08,45.84,51043,NaN,53409,54441,13056,,504.79,94104745,2347543,26930343,1361602,34,46744,,,835497,2330000,1416300
2014,130100,石家庄,51702653,9.43,46.76,43.81,48970,NaN,53409,48272.09,13109,,503,90224126,2297310,24234663,1200899,58,45772,8032,25938,856924,2140000,2863102
2013,130100,石家庄,48636583,10.05,48.51,41.44,48491,NaN,53481,43653.04,15848,,525.61,76246940,2355334,19723521,1161551,55,47819,13573,35893,869830,1920000,1359461
2012,130100,石家庄,45002098,10.05,49.79,40.16,43552,NaN,53394,38425.99,15848,,532.1,76431457,2384120,19157615,1092790,57,41603,15378,28755,837647,1860000,2692992
2011,130100,石家庄,40826833,10.16,49.77,40.07,39919,NaN,50517,35131.75,15848,,531.7,72605645,2548072,16629864,875153,50,37779,13938,24273,722164,1668017,2407100
2010,130100,石家庄,34010186,10.87,48.63,40.51,33915,NaN,50929,31458.78,15848,,507.9,56553423,2072458,14098923,700086,48,36544,12401,19689,639697,1312522,
2009,130100,石家庄,30012797,10.27,49.58,40.15,30428,NaN,50865,27369.84,15848,,497.93,44635387,1795820,11905536,612552,48,33883,10027,15151,607441,1049859,
2008,130100,石家庄,28383712,10.91,50.19,38.9,28923,0.41212441,35449,22745.82,15848,,506.74,41037867,1681672,10051958,491523,46,30456,10050,12513,557011,956940,
2007,130100,石家庄,23607230,,,,24243,0.409371237,31256,19991.83,15848,587,494.52,32937286,1313390,8210983,402666,45,28330,14887,12615,617304,1360000,
2006,130100,石家庄,20266320,12.71,48.35,38.94,21000,0.402863225,22653,16911.09,15848,582,485.2,25606557,1038522,6988128,268570,42,25710,14148,12142,459600,1181200,
2005,130100,石家庄,17867750,13.87,48.45,37.69,18671,0.396387361,28411,15239.37,15848,594,482.4,20155826,1011501,6061650,240891,41,23577,13908,11942,639668,995206,
2004,130100,石家庄,16334594,14.11,48.63,37.27,17871,0.38563566,27438,13602.16,15848,594,469.8,15830458,788985,5330762,204151,38,22208,14698,11751,482270,877627,
2003,130100,石家庄,13779438,13.65,48.25,38.11,15188,0.36389496,26196,12306.11,15848,574,439.8,11981505,554902,4566056,173404,37,25339,11843,10008,464557,756000,
2002,130100,石家庄,11868132,13.14,47.14,39.72,13187,0.295213443,26036,11167.75,15848,577,456.5,9724526,431279,4115390,,35,23123,13630,11583,365594,712838,
2001,130100,石家庄,10854284,14.15,46.24,39.61,12157,0.258119963,23000,9965.73,15848,590,471.64,8608672,209949,3690981,,31,22523,12718,12415,141630,435126,
2000,130100,石家庄,10031119,14.6,46.5,38.9,,0.239964037,14500,8972,15848,591,485.03,7814259,164152,3308800,,45,22220,9410,11384,,,
1999,130100,石家庄,9083677,16.1,46.2,37.8,,0.233207676,10501,7938,15848,591,512.25,6885768,209468,2967588,,33,,2929,1911,,,
1998,130100,石家庄,8458583,17.2,46.1,36.7,,0.228683109,,6970,15848,592,502.87,,,2680216,,32,21094,2534,1899,,,
1997,130100,石家庄,7813998,17.99,46.78,35.23,,0.222846115,,6256,15848,593,497.64,,,2380487,,30,,2498,2093,,,
1996,130100,石家庄,6564068,18.9,47.3,33.8,,0.217229516,,5726,15848,594,455.47,,,2011507,,,,2271,4077,,,
1995,130100,石家庄,5403093,19.6,47.8,32.6,,0.210476562,,5262,15848,595,456.91,,,1654603,,,,2461,4041,,,
1994,130100,石家庄,4174210,20.279,49.527,30.194,,0.200359002,,4406.06,15848,595,439.5,,,1265200,,,,2211,3559,,,
1993,130100,石家庄,2825000,,,,,0.194800015,,,15848,596,433.2,,,885221,27598,,,2112,2707,,,
1992,130100,石家庄,1137900,,,,,0.419123479,,,,,94.8,,,,9899,,,1732,1732,,,
1991,130100,石家庄,843800,11.413,58.711,29.865,2960,0.414485166,,,3255,130,91,,,432797,,,,1737,1627,,,
1990,130100,石家庄,735000,12.871,56.789,30.34,2632,0.413142394,,,3255,130.667,89.01,,,370181,,,,1822,1471,,,
2021,130200,唐山,82310000,7.37,55.24,37.38,106784,NaN,,90049,,,,,,21432318,1785522,,44079,,,9835,126380000,1833528
2020,130200,唐山,72110000,8.22,53.21,38.57,93470,#DIV/0!,,82483,,,,,,20275562,1657621,,39068,,,,,1804747
2019,130200,唐山,68900000,7.71,52.44,39.85,86667,NaN,39008,77990,14198,,,,,20946629,1560263,,37131,,,523089,2610000,1755625
2018,130200,唐山,69549700,7.09,54.89,38.02,87855,NaN,36026,74569,14198,,,,,27435816,1451959,,35979,,,532489,2200000,1682807
2017,130200,唐山,65301459,,,,82972,NaN,44246,66843,14198,,288.83,,,26171695,1337546,,33458,,,551276,1930000,1595527
2016,130200,唐山,63548675,9.43,55.07,35.5,81239,NaN,67327,59623,13472,,305.49,99676824,10789065,23711061,1167144,,38587,,,546578,1680000,1559596
2015,130200,唐山,61030601,9.32,55.13,35.55,78398,NaN,67464,55565,13472,,308.37,93263153,8504011,21478806,1232266,32,37631,,,529455,1390000,1552166
2014,130200,唐山,62253023,8.97,57.75,33.27,80450,NaN,66922,51214.1,13472,,305,103374648,9083789,19571127,1089918,30,36881,4267,38207,592559,1380000,2232812
2013,130200,唐山,61212139,9.03,58.7,32.27,82831,NaN,61000,48270.06,13742,,308.29,104304741,9213608,17246086,972513,30,38278,14035,47879,631975,1370000,1518002
2012,130200,唐山,58616363,9.02,59.26,31.72,76643,NaN,59545,45230,13472,,311.4,99628424,7402188,15350161,975527,29,28198,14500,41649,597244,1230000,2252000
2011,130200,唐山,54424541,8.94,60.08,30.98,71565,NaN,57885,42029.4,13472,,317.8,95736746,6829930,13347990,783039,27,32105,13645,37081,551272,1103454,2157900
2010,130200,唐山,44691588,9.44,58.14,32.42,59389,NaN,57885,37230.96,13472,,310,75450331,5381636,11345391,602372,25,30275,12045,29829,511665,893218,
2009,130200,唐山,38127192,9.45,57.76,32.8,51179,NaN,58178,33330.85,13472,,303.97,58191638,4964430,9585621,513967,24,27782,10503,25187,465526,702732,
2008,130200,唐山,35611900,9.55,59.34,31.11,48054,0.335051617,56256,29422.98,13472,,287.93,57957123,4809959,8097600,465656,22,26913,9719,21862,427268,525410,
2007,130200,唐山,27794190,10.32,57.42,32.25,37765,0.32598736,54282,23178.4,13472,563,288.63,38430889,3535881,6488276,358997,22,25509,12177,14942,399978,358999,
2006,130200,唐山,23621410,10.84,58.02,31.14,32429,0.318861942,53498,19539.04,13472,565,282.5,32923942,3464350,5443273,233849,21,23879,11881,15006,369151,326431,
2005,130200,唐山,20276374,11.65,57.29,31.06,28006,0.321828946,46243,17104.56,13472,564,271.5,27380134,2841851,4685949,208213,21,23382,11686,14641,323772,264400,
2004,130200,唐山,16263343,13.12,56.26,30.62,22965,0.315997014,42640,14077.9,13472,565,252.9,18132011,1735171,3597040,174319,21,22047,9497,13916,282338,431100,
2003,130200,唐山,12953220,14.96,55.2,29.84,18387,0.31650337,44869,10322.42,13472,545,231.5,12139175,528030,3073817,131388,19,23152,4614,13630,233442,330000,
2002,130200,唐山,11022878,16.97,51.74,31.29,15715,0.281625799,38425,10393.42,13472,551,260.4,8110112,369273,2773512,,19,21935,8912,14285,211459,229000,
2001,130200,唐山,10064571,17.85,51.1,31.06,14379,0.276926373,31560,8987.33,13472,579,273.37,6814284,273786,2513631,,19,21555,8916,14522,186143,116912,
2000,130200,唐山,9150473,18.9,50.5,30.6,,0.272524615,31946,7938,13472,580,275.53,5944655,227241,2289900,,19,20851,8829,14582,,,
1999,130200,唐山,8325611,20.6,49.6,29.8,,0.272529499,30861,7288,13472,580,335.52,5240342,230112,2073191,,19,,4924,14519,,,
1998,130200,唐山,7811579,21.4,49.1,29.4,,0.269181169,,6629,13472,581,352.89,,,1916082,,19,19982,4864,15135,,,
1997,130200,唐山,7108752,22.26,48.74,29,,0.263750472,,6028,13472,581,341.56,,,1740096,,18,,3777,15515,,,
1996,130200,唐山,6072800,24.4,46.8,28.8,,0.257816497,,5749,13472,582,342.53,,,1494797,,,,3822,15889,,,
1995,130200,唐山,4985998,24.9,47,28.1,,0.248020487,,5392,13472,582,324.7,,,1313899,,,,3678,17367,,,
1994,130200,唐山,3864908,23.963,49.79,26.247,,0.242183917,,4771,23472,581,304.3,,,1051051,,,,3632,17988,,,
1993,130200,唐山,2733800,,,,,0.231682991,,,13472,582,309.6,,,808661,30263,,,3394,8716,,,
1992,130200,唐山,1891900,,,,,0.227821947,,,,,305.4,,,,21326,,,3287,9768,,,
1991,130200,唐山,1418500,25.802,48.446,25.746,2149,0.221253225,,,13472,584,282,,,667419,,,,3028,9722,,,
1990,130200,唐山,1218200,27.196,47.365,25.439,1872,0.220136597,,,13472,584.667,272.23,,,565640,,,,2790,8707,,,
2021,130300,秦皇岛,18440000,13.02,35.63,51.36,58774,NaN,,89852,,,,,,5924647,584892,,15596,,,6663,47230000,961025
2020,130300,秦皇岛,16860000,13.82,32.68,53.5,53821,#DIV/0!,,85609,,,,,,5644041,611296,,15049,,,,,724133
2019,130300,秦皇岛,16120000,12.8,32.89,54.31,51334,NaN,17742,80184,7802,,,,,5852559,607284,,14282,,,222656,1290000,694528
2018,130300,秦皇岛,16355631,12.43,33.14,54.43,52380,NaN,23654,75131,7803,,,,,8306408,556567,,14207,,,233104,1100000,678221
2017,130300,秦皇岛,15003351,,,,48356,NaN,23529,70753,7802,,75.66,,,7751785,508832,,13776,,,239792,960000,649568
2016,130300,秦皇岛,13493526,14.52,34.73,50.75,73755,NaN,21562,61988,7802,,81.14,14388887,3343288,6998048,484208,,15450,,,243009,900000,628595
2015,130300,秦皇岛,12504439,14.21,35.59,50.2,40746,NaN,24095,57451,7802,,84.44,14091638,3347452,6338190,424258,198,15210,,,239557,640000,614926
2014,130300,秦皇岛,12000219,14.55,37.44,48.01,39282,NaN,23249,52497.76,7802,,85.28,15584853,3664119,5775688,358495,43,16516,3002,7611,266378,610000,948984
2013,130300,秦皇岛,11687549,14.67,38.29,47.03,39889,NaN,37199,48308.3,7802,,84.4,15084884,3907044,5145681,334332,39,13926,2883,7835,279198,590000,577718
2012,130300,秦皇岛,11393664,13.38,39.29,47.33,37804,NaN,22389,45686.79,7802,,80.9,15008077,4394209,4538079,348835,43,10568,2838,7170,258384,560000,925300
2011,130300,秦皇岛,10700808,13.08,39.2,47.72,35691,NaN,20170,37195.05,7802,,89.2,14120633,3213472,3944468,255379,33,11713,2920,6819,237906,524381,914300
2010,130300,秦皇岛,9304969,13.62,39.53,46.86,31182,NaN,18911,35829.67,7523,,86.8,11315465,2845599,3349800,216983,32,10919,2993,6459,214026,394115,
2009,130300,秦皇岛,8045421,12.72,38.74,48.53,27110,NaN,18539,32228.41,7523,,82.08,9105599,3620886,2832525,178492,31,10001,2527,6007,202199,396870,
2008,130300,秦皇岛,8089526,11.26,40.54,48.19,27481,0.420150429,19976,29140.71,7523,,85.68,10043077,4860392,2401450,159845,30,9503,7030,7573,174590,320905,
2007,130300,秦皇岛,6835782,11.42,38.87,49.71,23330,0.422223007,17807,22832.27,7523,187,80.46,7843079,3516894,1981416,112702,30,9302,6875,7191,172358,283322,
2006,130300,秦皇岛,5520509,10.54,37.76,51.7,19745,0.419654951,16133,19648.52,7523,184,84.9,5709882,2472631,1678108,92562,29,6411,6591,7795,133105,224884,
2005,130300,秦皇岛,4911470,10.44,38.76,50.8,17171,0.416738444,16915,17526.59,7523,186,84.6,4945301,2089314,1470373,80718,30,6144,6302,7576,134299,255693,
2004,130300,秦皇岛,4534443,10.46,41.33,48.21,16515,0.41704735,15547,15840.34,7523,186,79.4,4133749,1427086,1350807,71529,29,5365,6002,6643,118698,294551,
2003,130300,秦皇岛,3870301,10.05,39.66,50.29,14236,0.413809506,15543,13479.54,7523,187,72,2664729,907497,1177278,57736,27,6035,4501,5442,104473,160596,
2002,130300,秦皇岛,3356576,12.42,36.87,50.71,12463,0.301523331,12082,12256.54,7812,172,78.4,2092301,736844,1058422,,26,6303,6230,7174,90259,149151,
2001,130300,秦皇岛,3073141,13.1,35.59,51.31,11500,0.291014169,12080,10616.21,7812,195,84.47,1721041,493344,948778,,26,6713,5851,6366,86487,115166,
2000,130300,秦皇岛,2853937,13.7,36.4,49.9,,0.26230801,12075,9434,7812,196,70.5,1654398,451927,854800,,25,6683,5478,5898,,,
1999,130300,秦皇岛,2629975,15.9,37,47.1,,0.254188571,8240,8314,7812,196,88.1,1489220,381838,769071,,25,,1086,1608,,,
1998,130300,秦皇岛,2494997,17.7,37.5,44.8,,0.248012779,,7482,7812,197,108.51,,,703151,,24,6342,1094,1335,,,
1997,130300,秦皇岛,2307143,18.04,37.05,44.9,,0.241761179,,6802,7523,197,103.12,,,637188,,24,,973,1255,,,
1996,130300,秦皇岛,2010365,19,36.5,44.5,,0.232884056,,6331,7523,198,104.32,,,557644,,,,830,1334,,,
1995,130300,秦皇岛,1722375,19.6,37.7,42.7,,0.224188337,,6092,7523,200,98.01,,,494674,,,,853,1353,,,
1994,130300,秦皇岛,1393006,17.979,39.284,42.736,,0.216522111,,5095.98,7523,201,84.1,,,420825,,,,675,4253,,,
1993,130300,秦皇岛,977000,,,,,0.211024302,,,7523,201,93.6,,,337857,10638,,,1016,1478,,,
1992,130300,秦皇岛,689200,,,,,0.207723722,,,,,91.5,,,,7790,,,1060,1478,,,
1991,130300,秦皇岛,564400,23.175,34.089,42.736,2277,0.199526466,,,7523,202.667,94,,,218000,,,,1038,1371,,,
1990,130300,秦皇岛,466700,25.284,32.805,41.911,1906,0.197104271,,,7523,202.667,92.76,,,184920,,,,1043,1310,,,
2021,130400,邯郸,41150000,9.53,46.44,44.03,43817,NaN,,76316,,,,,,12759650,1461664,,41780,,,29739,2520000,1018375
2020,130400,邯郸,36370000,10.37,43.19,46.44,38623,#DIV/0!,,71148,,,,,,12008616,1479572,,40674,,,,,970010
2019,130400,邯郸,34860000,9.82,44.59,45.59,36546,NaN,65565,66540,12065,,,,,12274906,1358561,,38888,,,444174,2320000,938525
2018,130400,邯郸,34545705,9.07,45.1,45.83,36289,NaN,64123,62696,12065,,,,,16868433,1193602,,37986,,,441285,1740000,942277
2017,130400,邯郸,33795261,,,,35567,NaN,61551,58917,12065,,563.76,,,16742363,1163136,,35057,,,460398,1900000,898489
2016,130400,邯郸,33370903,12.5,47.24,40.26,35265,NaN,261180,50847,12065,,546.55,50550724,1284328,15088817,1066510,,44532,,,454865,1480000,1023025
2015,130400,邯郸,31454319,12.81,47.16,40.03,33450,NaN,59229,46650,12065,,542.46,47651527,1762865,13644978,1006026,16,41040,,,435850,1130000,1055441
2014,130400,邯郸,30800054,13.09,50.11,36.8,32943,NaN,53508,41422.93,12065,,544.85,51937435,2082714,12423665,905431,16,38463,8921,37209,455411,1080000,1883000
2013,130400,邯郸,30615043,12.9,51.34,35.76,30800,NaN,51786,39040.86,12065,,555.62,50985065,3280747,11061832,854747,16,35580,19241,36956,457295,1000000,1035732
2012,130400,邯郸,30242864,12.69,53.59,33.71,32650,NaN,54743,37987.53,12065,,560.1,53937550,4272254,9736775,953544,15,33409,18171,34384,416976,920000,1817865
2011,130400,邯郸,27890278,12.57,54.77,32.66,30270,NaN,52900,36119.57,12062,,528.3,50952387,4505495,8452018,701344,15,31168,16666,29266,366651,769612,1750700
2010,130400,邯郸,23615569,13.04,54.21,32.75,26143,NaN,50482,32126.01,12062,,476.1,41073243,2777404,7171735,579187,15,28297,13237,25506,333593,596075,
2009,130400,邯郸,20152800,12.25,53.89,33.86,22779,NaN,47495,27617.86,12062,,451.99,31644189,3810015,6060469,494687,14,26232,9755,19135,298421,999056,
2008,130400,邯郸,19903633,11.57,55.11,33.32,22651,0.322924748,43370,23654.65,12062,,446.97,30770277,2495945,5138569,391310,13,24229,13563,17403,266584,962177,
2007,130400,邯郸,16081303,12.98,52.58,34.44,18406,0.330637244,40920,18215.11,12062,661,442.93,21299126,1843782,4218949,311162,13,21686,13086,12616,266655,670798,
2006,130400,邯郸,13594576,12.71,52.1,35.19,15642,0.308838167,39305,15361.23,12062,662,416.1,15526743,1347234,3585034,193898,13,20756,12453,11649,236208,1249580,
2005,130400,邯郸,11572862,13.66,50.3,36.04,13410,0.205616056,39750,13774.79,12062,661,413.3,12652895,1206057,3108563,170240,13,20675,11977,10673,421335,457521,
2004,130400,邯郸,9364918,13.35,52.15,34.5,10887,0.201389935,37394,11928.62,12062,661,395.8,8305562,262725,2727849,138929,12,19900,11688,10505,344029,310133,
2003,130400,邯郸,7625607,14.49,51.76,33.74,8934,0.198228891,39842,10041.84,12062,650,363,5594611,470459,2345550,113244,11,19477,9795,9706,151613,371572,
2002,130400,邯郸,6531664,16.01,48.84,35.16,7710,0.189839163,12564,9024.41,12062,658,373.4,4192913,321395,2106935,,11,18576,11319,10397,119283,86272,
2001,130400,邯郸,5916767,16.68,47.99,35.32,7032,0.182949795,34300,7882.06,12062,670,385.62,3567907,185591,1894692,,11,20545,11151,10021,178510,58731,
2000,130400,邯郸,5423546,17.5,47.6,34.8,,0.180218968,25800,6967,12062,670,391.89,3169052,69588,1715000,,10,20378,10347,9952,,,
1999,130400,邯郸,4969986,19,47.1,33.9,,0.178152939,21806,6169,12062,670,420.66,2796504,80833,1546766,,9,,10076,10367,,,
